Mun;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;Total
130185 Iranduba;19.0;32.0;16.0;7.0;12.0;9.0;12.0;0.0;107.0
130190 Itacoatiara;27.0;75.0;23.0;4.0;3.0;8.0;15.0;0.0;155.0
130195 Itamarati;2.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;8.0
130200 Itapiranga;1.0;13.0;2.0;1.0;1.0;2.0;1.0;0.0;21.0
130210 Japurá;0.0;7.0;1.0;1.0;1.0;0.0;1.0;0.0;11.0
130220 Juruá;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;5.0
130230 Jutaí;0.0;3.0;4.0;1.0;1.0;1.0;2.0;0.0;12.0
130240 Lábrea;7.0;56.0;8.0;3.0;7.0;7.0;4.0;1.0;93.0
130250 Manacapuru;27.0;68.0;17.0;5.0;5.0;10.0;14.0;1.0;147.0
130255 Manaquiri;3.0;17.0;3.0;1.0;2.0;3.0;3.0;0.0;32.0
130260 Manaus;451.0;3110.0;697.0;191.0;217.0;766.0;405.0;24.0;5861.0
130270 Manicoré;4.0;19.0;7.0;1.0;4.0;0.0;2.0;1.0;38.0
130280 Maraã;2.0;7.0;3.0;0.0;0.0;2.0;1.0;0.0;15.0
130290 Maués;7.0;40.0;7.0;2.0;4.0;1.0;3.0;0.0;64.0
130300 Nhamundá;6.0;14.0;4.0;1.0;2.0;0.0;2.0;0.0;29.0
130310 Nova Olinda do Norte;5.0;14.0;6.0;3.0;3.0;0.0;6.0;0.0;37.0
130320 Novo Airão;3.0;8.0;2.0;1.0;1.0;1.0;1.0;0.0;17.0
130330 Novo Aripuanã;5.0;9.0;2.0;1.0;1.0;0.0;4.0;0.0;22.0
130340 Parintins;29.0;87.0;19.0;4.0;10.0;22.0;15.0;1.0;187.0
130350 Pauini;1.0;14.0;4.0;1.0;3.0;0.0;3.0;0.0;26.0
130353 Presidente Figueiredo;11.0;26.0;4.0;2.0;1.0;12.0;1.0;0.0;57.0
130356 Rio Preto da Eva;11.0;21.0;7.0;1.0;0.0;1.0;9.0;0.0;50.0
130360 Santa Isabel do Rio Negro;1.0;17.0;1.0;0.0;1.0;2.0;0.0;0.0;22.0
130370 Santo Antônio do Içá;1.0;13.0;1.0;2.0;1.0;0.0;1.0;0.0;19.0
130380 São Gabriel da Cachoeira;5.0;85.0;4.0;1.0;5.0;25.0;7.0;0.0;132.0
130390 São Paulo de Olivença;4.0;21.0;3.0;0.0;3.0;7.0;3.0;0.0;41.0
130395 São Sebastião do Uatumã;2.0;8.0;2.0;1.0;4.0;1.0;1.0;0.0;19.0
130400 Silves;4.0;8.0;2.0;1.0;0.0;0.0;1.0;0.0;16.0
130406 Tabatinga;12.0;80.0;11.0;4.0;9.0;13.0;9.0;0.0;138.0
130410 Tapauá;4.0;16.0;4.0;0.0;1.0;2.0;2.0;0.0;29.0
130420 Tefé;19.0;49.0;23.0;5.0;6.0;12.0;10.0;0.0;124.0
130423 Tonantins;2.0;11.0;2.0;0.0;2.0;1.0;1.0;0.0;19.0
130426 Uarini;2.0;8.0;3.0;0.0;1.0;0.0;1.0;0.0;15.0
130430 Urucará;2.0;11.0;4.0;1.0;1.0;3.0;1.0;0.0;23.0
130440 Urucurituba;3.0;7.0;3.0;2.0;1.0;1.0;2.0;0.0;19.0
140005 Alto Alegre;3.0;47.0;2.0;0.0;1.0;7.0;4.0;1.0;65.0
140002 Amajari;2.0;18.0;3.0;0.0;1.0;3.0;3.0;0.0;30.0
140010 Boa Vista;146.0;798.0;321.0;55.0;96.0;175.0;159.0;11.0;1761.0
140015 Bonfim;2.0;8.0;2.0;0.0;1.0;4.0;2.0;0.0;19.0
140017 Cantá;1.0;13.0;2.0;0.0;0.0;1.0;0.0;0.0;17.0
140020 Caracaraí;3.0;23.0;4.0;0.0;2.0;6.0;4.0;1.0;43.0
140023 Caroebe;0.0;12.0;3.0;0.0;0.0;5.0;1.0;0.0;21.0
